game_id,league,away_team_id,home_team_id,away_team_box_score,home_team_box_score,stadium,location,tv_coverage,betting_line,betting_over_under,stadium_capacity,attendance,away_win_pct,home_win_pct,away_quarter1,away_quarter2,away_quarter3,away_quarter4,away_overtime,away_total,home_quarter1,home_quarter2,home_quarter3,home_quarter4,home_overtime,home_total,game_time,game_date
401570586,MLB,nyy,chc,,,Wrigley Field,"Chicago, Illinois",,,,41363,,,,,,,,,,,,,,,,2:20 PM,"September 6, 2024"
401570592,MLB,wsh,pit,,,PNC Park,"Pittsburgh, Pennsylvania",,,,38753,,,,,,,,,,,,,,,,6:40 PM,"September 6, 2024"
401570590,MLB,tb,bal,,,Oriole Park at Camden Yards,"Baltimore, Maryland",,,,45971,,,,,,,,,,,,,,,,7:05 PM,"September 6, 2024"
401570580,MLB,chw,bos,,,Fenway Park,"Boston, Massachusetts",,,,37755,,,,,,,,,,,,,,,,7:10 PM,"September 6, 2024"
401570581,MLB,cin,nym,,,Citi Field,"Queens, New York",,,,42136,,,,,,,,,,,,,,,,7:10 PM,"September 6, 2024"
401570587,MLB,phi,mia,,,loanDepot park,"Miami, Florida",,,,37446,,,,,,,,,,,,,,,,7:10 PM,"September 6, 2024"
401570591,MLB,tor,atl,,,Truist Park,"Atlanta, Georgia",,,,41149,,,,,,,,,,,,,,,,7:20 PM,"September 6, 2024"
401570578,MLB,laa,tex,,,Globe Life Field,"Arlington, Texas",,,,40000,,,,,,,,,,,,,,,,8:05 PM,"September 6, 2024"
401570579,MLB,ari,hou,,,Minute Maid Park,"Houston, Texas",,,,41000,,,,,,,,,,,,,,,,8:10 PM,"September 6, 2024"
401570583,MLB,col,mil,,,American Family Field,"Milwaukee, Wisconsin",,,,41700,,,,,,,,,,,,,,,,8:10 PM,"September 6, 2024"
401570585,MLB,min,kc,,,Kauffman Stadium,"Kansas City, Missouri",,,,38427,,,,,,,,,,,,,,,,8:10 PM,"September 6, 2024"
401570588,MLB,sea,stl,,,Busch Stadium,"St. Louis, Missouri",,,,44494,,,,,,,,,,,,,,,,8:15 PM,"September 6, 2024"
401570584,MLB,det,oak,,,Oakland Coliseum,"Oakland, California",,,,46847,,,,,,,,,,,,,,,,9:40 PM,"September 6, 2024"
401570589,MLB,sf,sd,,,Petco Park,"San Diego, California",,,,40222,,,,,,,,,,,,,,,,9:40 PM,"September 6, 2024"
