name,mascot,logo_url,conference_name,team_id,conference_wins,conference_losses,conference_ties,overall_wins,overall_losses,overall_ties
Georgia Southern,Eagles,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/290.png,Sun Belt,290,0.0,0.0,0.0,0.0,0.0,0.0
Florida,Gators,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/57.png,SEC,57,0.0,0.0,0.0,0.0,0.0,0.0
UL Monroe,Warhawks,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2433.png,Sun Belt,2433,0.0,0.0,0.0,0.0,0.0,0.0
Illinois,Fighting Illini,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/356.png,Big Ten,356,0.0,0.0,0.0,0.0,0.0,0.0
Iowa,Hawkeyes,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2294.png,Big Ten,2294,0.0,0.0,0.0,0.0,0.0,0.0
Villanova,Wildcats,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/222.png,CAA,222,0.0,0.0,0.0,0.0,0.0,0.0
USC,Trojans,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/30.png,Pac-12,30,0.0,0.0,0.0,0.0,0.0,0.0
Northwestern,Wildcats,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/77.png,Big Ten,77,0.0,0.0,0.0,0.0,0.0,0.0
Rutgers,Scarlet Knights,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/164.png,Big Ten,164,0.0,0.0,0.0,0.0,0.0,0.0
Monmouth,Hawks,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2405.png,CAA,2405,0.0,0.0,0.0,0.0,0.0,0.0
Miami (OH),RedHawks,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/193.png,MAC,193,0.0,0.0,0.0,0.0,0.0,0.0
Wagner,Seahawks,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2681.png,NEC,2681,0.0,0.0,0.0,0.0,0.0,0.0
Youngstown State,Penguins,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2754.png,MVFC,2754,0.0,0.0,0.0,0.0,0.0,0.0
NC State,Wolfpack,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/152.png,ACC,152,0.0,0.0,0.0,0.0,0.0,0.0
James Madison,Dukes,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/256.png,Sun Belt,256,0.0,0.0,0.0,0.0,0.0,0.0
Oklahoma,Sooners,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/201.png,Big 12,201,0.0,0.0,0.0,0.0,0.0,0.0
South Alabama,Jaguars,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/6.png,Sun Belt,6,0.0,0.0,0.0,0.0,0.0,0.0
Kentucky,Wildcats,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/96.png,SEC,96,0.0,0.0,0.0,0.0,0.0,0.0
Minnesota,Golden Gophers,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/135.png,Big Ten,135,0.0,0.0,0.0,0.0,0.0,0.0
Ohio State,Buckeyes,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/194.png,Big Ten,194,0.0,0.0,0.0,0.0,0.0,0.0
Nebraska,Cornhuskers,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/158.png,Big Ten,158,0.0,0.0,0.0,0.0,0.0,0.0
Wisconsin,Badgers,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/275.png,Big Ten,275,0.0,0.0,0.0,0.0,0.0,0.0
Louisville,Cardinals,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/97.png,ACC,97,0.0,0.0,0.0,0.0,0.0,0.0
Holy Cross,Crusaders,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/107.png,Patriot,107,0.0,0.0,0.0,0.0,0.0,0.0
UCF,Knights,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2116.png,Big 12,2116,0.0,0.0,0.0,0.0,0.0,0.0
Auburn,Tigers,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2.png,SEC,2,0.0,0.0,0.0,0.0,0.0,0.0
Missouri,Tigers,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/142.png,SEC,142,0.0,0.0,0.0,0.0,0.0,0.0
Michigan,Wolverines,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/130.png,Big Ten,130,0.0,0.0,0.0,0.0,0.0,0.0
Purdue,Boilermakers,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2509.png,Big Ten,2509,0.0,0.0,0.0,0.0,0.0,0.0
Syracuse,Orange,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/183.png,ACC,183,0.0,0.0,0.0,0.0,0.0,0.0
Clemson,Tigers,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/228.png,ACC,228,0.0,0.0,0.0,0.0,0.0,0.0
SMU,Mustangs,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2567.png,American,2567,0.0,0.0,0.0,0.0,0.0,0.0
Wake Forest,Demon Deacons,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/154.png,ACC,154,0.0,0.0,0.0,0.0,0.0,0.0
Rice,Owls,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/242.png,American,242,0.0,0.0,0.0,0.0,0.0,0.0
Oregon State,Beavers,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/204.png,Pac-12,204,0.0,0.0,0.0,0.0,0.0,0.0
Maine,Black Bears,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/311.png,CAA,311,0.0,0.0,0.0,0.0,0.0,0.0
Army,Black Knights,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/349.png,FBS (I-A),349,0.0,0.0,0.0,0.0,0.0,0.0
New Mexico State,Aggies,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/166.png,CUSA,166,0.0,0.0,0.0,0.0,0.0,0.0
Mercer,Bears,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2382.png,Southern,2382,0.0,0.0,0.0,0.0,0.0,0.0
